sku,productName,skuType,validationStatus,hasProductName,hasCategory,hasSupplementFacts,hasPricing,hasInventory,hasCoa,hasLabelTemplate,hasMockup,missingFieldCount,missingFields,blockingDefectCount,warningDefectCount,blockingDefects,warningDefects,notApplicableFields,usableForProductEditor,usableForGenerateIntelligence,usableForImageStudio,usableForChannelOptimization,usableForOptiBay,usableForOptiWal,usableForOptizon,sourceNotes
ROC923,Joint Care Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC924,Collagen Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC925,Hair Vitamin Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC927,Resveratrol,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC928,Turmeric Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC929,Ashwagandha Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC930,Apple Cider Vinegar Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC934,MCT Oil,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC937,Organic Super Greens - Watermelon,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC939,Elderberry Immunity W/ Zinc & Vitamin C,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC941,,unknown,blocked,false,false,false,false,true,false,false,false,10,category|coaUrl|estimatedProfit|labelTemplateUrl|membershipTierCosts|mockupUrl|msrp|productName|supplementFactsText|wholesaleCost,2,0,productName:missing_product_name|pricing.wholesaleCostOrMembership:missing_pricing_values,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.activeIngredients|supplementFacts.otherIngredients|supplementFacts.servingSize|supplementFacts.servingsPerContainer,false,false,false,false,false,false,false,
