productHandle,productTitle,shopifySku,supplierSku,supplierMatchStatus,productType,sourceMode,hasShopifyFactsImage,shopifyFactsImageUrlsCount,hasSupplierFactsImage,supplierFactsImageUrlsCount,hasTemplateLabelAsset,hasMockupAsset,hasAiLabelTextEvidence,aiLabelTextStatus,hasOcrEvidence,hasStructuredSupplementFactsInArtifacts,hasStructuredSupplementFactsInDb,hasSupplementFactsInCopywritingInput,servingSizePresentInArtifacts,servingSizePresentInDb,servingSizePresentInInput,servingsPerContainerPresentInArtifacts,servingsPerContainerPresentInDb,servingsPerContainerPresentInInput,activeIngredientsPresentInArtifacts,activeIngredientsPresentInDb,activeIngredientsPresentInInput,ingredientAmountsPresentInArtifacts,ingredientAmountsPresentInDb,ingredientAmountsPresentInInput,otherIngredientsPresent,suggestedUsePresent,warningsPresent,coaPresent,pricingPresent,inventoryPresent,copywritingSupplementFactsMissingFlag,copywritingIngredientFactsMissingFlag,copywritingMissingDataNotices,validationIngredientMatchingReadiness,validationProductEditorFactsReadiness,globalValidationStatus,incorrectlyClassifiedSupplementFactsMissing,labelImageEvidenceButNoStructuredFacts,aiLabelTextAvailableButInputMissing,structuredFactsInArtifactsButDbMissing,structuredFactsInDbButInputMissing,sourceDataInSupplierSnapshotButNotInput,auditCategory,suspectedRootCause,recommendedFixLane
fermented-gallbladder-support-8-fl-oz,Fermented Gallbladder Support 8 fl oz,ROC734,ROC734,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
bone-health-plus,Bone Health Plus,ROC735,ROC735,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
adrenal-support-plus,Adrenal Support Plus,ROC736,ROC736,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
gallbladder-support-plus,Gallbladder Support Plus,ROC738,ROC738,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,true,true,true,false,false,true,C,ai_label_text_mapping_gap,ai_label_text_mapping_gap
pancreas-support-plus,Pancreas Support Plus,ROC739,ROC739,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
advanced-thyroid-hormone-support,Advanced Thyroid & Hormone Support,ROC740,ROC740,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
thyroid-support-plus,Thyroid Support Plus,ROC741,ROC741,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
bentonite-clay-detox-plus,Bentonite Clay Detox Plus,ROC743,ROC743,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
premium-volcanic-pink-salt-12-oz,Premium Volcanic Pink Salt 12 oz,ROC744,ROC744,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
premium-testosterone-w-testofen,Premium Testosterone w/ Testofen®,ROC745,ROC745,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
